,text
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,2
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,3
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,-3
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,-1
60,1
61,1
62,0
63,0
64,-1
65,1
66,0
67,0
68,0
69,0
70,-1
71,-1
72,0
73,0
74,0
75,-1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,-1
90,0
91,1
92,1
93,0
94,-2
95,0
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,2
106,1
107,-1
108,1
109,0
110,2
111,0
112,1
113,0
114,0
115,-1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,-1
128,0
129,0
130,0
131,0
132,-2
133,1
134,0
135,-1
136,0
137,0
138,0
139,-1
140,0
141,0
142,0
143,-2
144,0
145,0
146,0
147,0
148,-2
149,0
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,2
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,3
171,-1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,-2
185,0
186,-1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,-1
195,0
196,0
197,0
198,-1
199,0
200,1
201,0
202,-2
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,2
212,0
213,0
214,0
215,0
216,-1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,-2
233,0
234,0
235,-1
236,0
237,0
238,-1
239,0
240,-1
241,0
242,-2
243,0
244,0
245,0
246,1
247,0
248,2
249,2
250,0
251,0
252,-1
253,1
254,-2
255,0
256,-2
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,-2
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,2
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,-1
297,0
298,0
299,0
300,0
301,-1
302,1
303,0
304,0
305,2
306,1
307,0
308,0
309,1
310,0
311,0
312,-1
313,0
314,0
315,0
316,0
317,-1
318,-2
319,1
320,-1
321,0
322,0
323,-2
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,-2
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,-1
344,0
345,0
346,-1
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,-1
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,-1
378,0
379,0
380,0
381,0
382,2
383,0
384,0
385,0
386,0
387,2
388,0
389,0
390,0
391,0
392,-2
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,-1
408,-1
409,0
410,0
411,-2
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,-1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,-1
434,0
435,0
436,-1
437,-1
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,-1
