id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at,
8049,3,3,826980575781220000,0,Spotify,false,false,,,,,,,0,0,,false,und,2017-02-02 02:28:28 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8051,3,3,826969918264508000,0,Spotify,false,false,,,,,,,0,0,,false,sv,2017-02-02 01:46:07 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8054,3,3,826810998157894000,0,Twitter Web Client,false,false,,,,,,,1,0,,false,es,2017-02-01 15:14:38 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8057,3,3,825912763809727000,0,Spotify,false,false,,,,,,,0,0,,false,en,2017-01-30 03:45:22 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8059,3,3,826068859648168000,0,Twitter for Android,true,false,,,,,,,0,1,,false,es,2017-01-30 14:05:38 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8064,3,3,825887988479623000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-30 02:06:55 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8048,3,3,828029116809101000,0,Twitter Web Client,true,false,,,,,,,0,25081,,false,en,2017-02-04 23:55:00 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8053,3,3,826815783716192000,0,Twitter for Android,true,false,,,,,,,0,157,,false,es,2017-02-01 15:33:38 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8050,3,3,826974099146732000,0,Spotify,false,false,,,,,,,0,0,,false,pl,2017-02-02 02:02:44 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8060,3,3,825905001507725000,0,Spotify,false,false,,,,,,,0,0,,false,en,2017-01-30 03:14:31 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8063,3,3,825893800908321000,0,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-30 02:30:01 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8056,3,3,826068648112640000,0,Twitter for Android,true,false,,,,,,,0,9,,false,es,2017-01-30 14:04:47 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8065,3,3,825886325228319000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-30 02:00:18 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8070,3,3,825878774524867000,0,Spotify,false,false,,,,,,,0,0,,false,en,2017-01-30 01:30:18 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8072,3,3,825857575841325000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,und,2017-01-30 00:06:04 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8045,3,3,828030067964051000,0,Twitter Web Client,true,false,,,,,,,0,35,,false,und,2017-02-04 23:58:46 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8052,3,3,826971050835579000,0,Spotify,false,false,,,,,,,0,0,,false,en,2017-02-02 01:50:37 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8055,3,3,826072374038635000,0,Twitter for Android,false,false,,,,,,,1,0,,false,es,2017-01-30 14:19:36 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8061,3,3,825900096105640000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-30 02:55:02 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8062,3,3,825893037284929000,0,Twitter for Android,true,false,,,,,,,0,93,,false,pt,2017-01-30 02:26:59 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8058,3,3,825915658722484000,0,Spotify,false,false,,,,,,,0,0,,false,es,2017-01-30 03:56:52 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8066,3,3,825892321459896000,0,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-30 02:24:08 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8069,3,3,825861892296024000,0,Twitter Web Client,true,false,,,,,,,0,149,,false,en,2017-01-30 00:23:13 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8067,3,3,825886281351721000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-30 02:00:08 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
8068,3,3,825892635764220000,0,Twitter for Android,false,false,,,,,,,1,0,,false,es,2017-01-30 02:25:23 +0000,2017-02-20 01:54:45 +0000,2017-02-20 01:54:45 +0000,
9102,3,11,827993724399534000,0,Twitter Web Client,false,false,,,,,,,2,0,,false,es,2017-02-04 21:34:21 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9101,3,11,827643326019035000,0,Twitter for Android,false,false,,,,,,,7,4,,false,es,2017-02-03 22:22:00 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9105,3,11,827641739464868000,0,Twitter for Android,true,false,,,,,,,0,4,,false,es,2017-02-03 22:15:42 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9107,3,11,826583174364987000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 00:09:20 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9108,3,11,826578606499447000,0,Twitter Web Client,true,false,,,,,,,0,17,,false,es,2017-01-31 23:51:11 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9096,3,11,828019844536795000,0,Twitter Web Client,true,false,,,,,,,0,1,,false,es,2017-02-04 23:18:09 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9098,3,11,827989352005386000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 21:16:59 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9100,3,11,827988640324342000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 21:14:09 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9103,3,11,827641375239844000,0,Twitter for Android,true,false,,,,,,,0,1,,false,en,2017-02-03 22:14:15 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9099,3,11,827989219788329000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 21:16:27 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9097,3,11,828024055676731000,0,Twitter Web Client,false,false,,,,,,,1,2,,false,es,2017-02-04 23:34:53 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9104,3,11,827641282960966000,0,Twitter for Android,true,false,,,,,,,0,1,,false,es,2017-02-03 22:13:53 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9106,3,11,827226994270151000,0,Twitter for Android,false,false,,,,,,,0,0,,false,en,2017-02-02 18:47:39 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9110,3,11,826576354871218000,0,Twitter Web Client,false,false,,,,,,,2,0,,false,es,2017-01-31 23:42:14 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9111,3,11,826344860680651000,0,Twitter Web Client,false,false,,,,,,,1,0,,false,en,2017-01-31 08:22:22 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
9113,3,11,826345932635644000,0,Twitter Web Client,false,false,,,,,,,2,0,,false,en,2017-01-31 08:26:37 +0000,2017-02-20 01:54:57 +0000,2017-02-20 01:54:57 +0000,
10209,3,8,827993337017795000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 21:32:49 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10207,3,8,827994267511558000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 21:36:31 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10213,3,8,827981254159192000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 20:44:48 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10215,3,8,827983695910936000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 20:54:30 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10220,3,8,827959724486357000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 19:19:15 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10223,3,8,827958980957860000,0,Twitter Web Client,true,false,,,,,,,0,4,,false,es,2017-02-04 19:16:18 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10225,3,8,827968951552528000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 19:55:55 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10227,3,8,827670818406691000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 00:11:15 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10228,3,8,827668435937137000,0,Twitter Web Client,true,false,,,,,,,0,590,,false,es,2017-02-04 00:01:47 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10206,3,8,828010765516931000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 22:42:04 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10211,3,8,827993046709109000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 21:31:40 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10216,3,8,827979604241613000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 20:38:15 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10217,3,8,827979214808875000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 20:36:42 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10222,3,8,827942588921631000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,en,2017-02-04 18:11:10 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10226,3,8,827673272842084000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 00:21:00 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10230,3,8,827661176179921000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,pt,2017-02-03 23:32:56 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10236,3,8,827501172839875000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-03 12:57:08 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10239,3,8,826928168124703000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 23:00:13 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10232,3,8,827496337822331000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-03 12:37:55 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10245,3,8,826921980851061000,0,Twitter Web Client,true,false,,,,,,,0,17,,false,es,2017-02-01 22:35:38 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10267,3,8,826878488300966000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 19:42:48 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10270,3,8,826805498431279000,0,Twitter Web Client,true,false,,,,,,,0,19,,false,es,2017-02-01 14:52:46 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10208,3,8,827993648876880000,0,Twitter Web Client,true,false,,,,,,,0,1,,false,es,2017-02-04 21:34:03 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10212,3,8,827992568810070000,0,Twitter Web Client,true,false,,,,,,,0,33,,false,es,2017-02-04 21:29:46 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10214,3,8,827979758453584000,0,Twitter Web Client,true,false,,,,,,,0,2,,false,es,2017-02-04 20:38:52 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10218,3,8,827974071254122000,0,Twitter Web Client,true,false,,,,,,,0,122,,false,es,2017-02-04 20:16:16 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10221,3,8,827959481069879000,0,Twitter Web Client,true,false,,,,,,,0,2,,false,es,2017-02-04 19:18:17 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10219,3,8,827976948450214000,0,Twitter Web Client,true,false,,,,,,,0,26,,false,es,2017-02-04 20:27:42 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10224,3,8,827677978175889000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-04 00:39:42 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10229,3,8,827666163933012000,0,Twitter Web Client,true,false,,,,,,,0,1269,,false,es,2017-02-03 23:52:45 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10231,3,8,827502454652678000,0,Twitter Web Client,true,false,,,,,,,0,1,,false,es,2017-02-03 13:02:14 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10234,3,8,827321897360753000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-03 01:04:45 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10241,3,8,826926828933747000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 22:54:54 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10244,3,8,826921981119439000,0,Twitter Web Client,true,false,,,,,,,0,20,,false,es,2017-02-01 22:35:38 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10237,3,8,826931929849143000,0,Twitter Web Client,true,false,,,,,,,0,28,,false,es,2017-02-01 23:15:10 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10247,3,8,826921334634602000,0,Twitter Web Client,true,false,,,,,,,0,17,,false,es,2017-02-01 22:33:04 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10251,3,8,826907508170228000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 21:38:07 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10253,3,8,826904281831899000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 21:25:18 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10258,3,8,826879052300562000,0,Twitter Web Client,true,false,,,,,,,0,6,,false,es,2017-02-01 19:45:03 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10256,3,8,826879193082364000,0,Twitter Web Client,true,false,,,,,,,0,3,,false,es,2017-02-01 19:45:36 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10261,3,8,826878927905948000,0,Twitter Web Client,true,false,,,,,,,0,13,,false,es,2017-02-01 19:44:33 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10264,3,8,826878898621252000,0,Twitter Web Client,true,false,,,,,,,0,19,,false,es,2017-02-01 19:44:26 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10233,3,8,827501767806091000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-03 12:59:30 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10238,3,8,827192326695088000,0,Twitter Web Client,true,false,,,,,,,0,12,,false,es,2017-02-02 16:29:53 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10240,3,8,826927431101604000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 22:57:17 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10242,3,8,826921985238323000,0,Twitter Web Client,true,false,,,,,,,0,19,,false,es,2017-02-01 22:35:39 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10235,3,8,827319129187242000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-03 00:53:45 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10243,3,8,827495904299082000,0,Twitter Web Client,true,false,,,,,,,0,77,,false,es,2017-02-03 12:36:12 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10246,3,8,826921980830052000,0,Twitter Web Client,true,false,,,,,,,0,19,,false,es,2017-02-01 22:35:38 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10254,3,8,826906403948397000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 21:33:44 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10260,3,8,826878913867612000,0,Twitter Web Client,true,false,,,,,,,0,18,,false,es,2017-02-01 19:44:30 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10265,3,8,826878858645365000,0,Twitter Web Client,true,false,,,,,,,0,19,,false,es,2017-02-01 19:44:17 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10263,3,8,826878975444210000,0,Twitter Web Client,true,false,,,,,,,0,24,,false,es,2017-02-01 19:44:45 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10272,3,8,826603263529189000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 01:29:10 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10268,3,8,826873995102392000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 19:24:57 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
